Slice	Count	Total Area	Average Size	%Area
ste30 d6-4.jpg	43	209594	4874.2791	17.0568
ste130 d5-2.jpg	114	169509	1486.9211	13.7947
ste30 d4-1.jpg	106	108957	1027.8962	8.8669
ste72 d8-1.jpg	36	151944	4220.6667	12.3652
ste129 d6-1.jpg	78	117121	1501.5513	9.5313
ste72 d4-3.jpg	59	50131	849.6780	4.0797
ste72 d8-3.jpg	36	154941	4303.9167	12.6091
ste129 d1-2.jpg	61	23141	379.3607	1.8832
ste129 d1-3.jpg	64	22949	358.5781	1.8676
ste72 d4-1.jpg	68	60379	887.9265	4.9137
ste30 d1-1.jpg	65	30746	473.0154	2.5021
ste130 d5-1.jpg	117	163967	1401.4274	13.3437
ste130 d8-1.jpg	30	131130	4371.0000	10.6714
ste72 d1-4.jpg	99	32487	328.1515	2.6438
ste76 d5-2.jpg	56	69997	1249.9464	5.6964
ste30 d4-4.jpg	83	95759	1153.7229	7.7929
ste72 d1-2.jpg	7	9793	1399.0000	0.7970
ste129 d4-4.jpg	80	89709	1121.3625	7.3005
ste129 d6-2.jpg	96	152486	1588.3958	12.4093
ste129 d1-1.jpg	46	16047	348.8478	1.3059
ste76 d1-4.jpg	27	9197	340.6296	0.7485
ste76 d1-3.jpg	39	12677	325.0513	1.0317
ste76 d4-4.jpg	69	68796	997.0435	5.5986
ste129 d1-4.jpg	52	19439	373.8269	1.5819
ste129 d5-3.jpg	118	145117	1229.8051	11.8097
ste129 d8-2.jpg	62	170327	2747.2097	13.8612
ste72 d6-3.jpg	40	92971	2324.2750	7.5660
ste76 d5-3.jpg	65	88790	1366.0000	7.2257
ste76 d1-2.jpg	60	19077	317.9500	1.5525
ste30 d8-3.jpg	27	121777	4510.2593	9.9102
ste130 d6-4.jpg	83	219279	2641.9157	17.8450
ste30 d6-3.jpg	56	200626	3582.6071	16.3270
ste129 d5-1.jpg	95	93501	984.2211	7.6091
ste130 d8-2.jpg	44	209218	4754.9545	17.0262
ste72 d8-4.jpg	43	152765	3552.6744	12.4320
ste129 d8-3.jpg	70	244325	3490.3571	19.8832
ste76 d5-1.jpg	60	65465	1091.0833	5.3276
ste130 d1-3.jpg	75	28350	378.0000	2.3071
ste130 d5-4.jpg	100	147514	1475.1400	12.0047
ste76 d6-1.jpg	32	65169	2036.5312	5.3035
ste76 d1-1.jpg	55	18817	342.1273	1.5313
ste30 d6-1.jpg	70	175650	2509.2857	14.2944
ste130 d1-2.jpg	69	24613	356.7101	2.0030
ste130 d4-4.jpg	118	119449	1012.2797	9.7208
ste130 d1-4.jpg	56	20596	367.7857	1.6761
ste30 d5-4.jpg	53	124555	2350.0943	10.1363
ste129 d4-2.jpg	118	116653	988.5847	9.4932
ste30 d5-2.jpg	66	183151	2775.0152	14.9049
ste76 d5-4.jpg	70	102513	1464.4714	8.3425
ste130 d8-4.jpg	30	190806	6360.2000	15.5278
ste129 d4-3.jpg	102	104001	1019.6176	8.4636
ste72 d5-1.jpg	60	70059	1167.6500	5.7014
