SAMPLE	GROUP	DAY	REPLICATE	COUNT	TOTAL_AREA	AVERAGE_AREA	%AREA
STE030	Healthy	1	1	113	33408	295.646	2.7188
STE030	Healthy	1	4	79	29393	372.0633	2.392
STE030	Healthy	1	2	119	34949	293.6891	2.8442
STE030	Healthy	1	3	125	40080	320.64	3.2617
STE030	Healthy	5	1	151	129140	855.2318	10.5094
STE030	Healthy	5	4	117	123198	1052.9744	10.0259
STE030	Healthy	5	3	130	181678	1397.5231	14.785
STE030	Healthy	5	2	121	121641	1005.2975	9.8992
STE030	Healthy	6	4	100	174498	1744.98	14.2007
STE030	Healthy	6	2	95	210710	2218	17.1476
STE030	Healthy	6	3	116	189862	1636.7414	15.451
STE030	Healthy	6	1	139	217280	1563.1655	17.6823
STE030	Healthy	7	4	97	247616	2552.7423	20.151
STE030	Healthy	7	3	116	290163	2501.4052	23.6135
STE030	Healthy	7	1	132	265035	2007.8409	21.5686
STE030	Healthy	7	2	105	300704	2863.8476	24.4714
STE030	Healthy	8	3	104	315333	3032.0481	25.6619
STE030	Healthy	8	1	92	406557	4419.0978	33.0857
STE030	Healthy	8	4	110	288410	2621.9091	23.4709
STE030	Healthy	8	2	81	344382	4251.6296	28.0259
STE072	Healthy	1	4	175	38243	218.5314	3.1122
STE072	Healthy	1	2	17	10114	594.9412	0.8231
STE072	Healthy	1	3	126	28589	226.8968	2.3266
STE072	Healthy	1	1	166	27730	167.0482	2.2567
STE072	Healthy	5	3	70	50961	728.0143	4.1472
STE072	Healthy	5	1	86	64640	751.6279	5.2604
STE072	Healthy	5	4	68	57393	844.0147	4.6707
STE072	Healthy	5	2	77	57918	752.1818	4.7134
STE072	Healthy	6	1	73	73049	1000.6712	5.9447
STE072	Healthy	6	2	85	109616	1289.6	8.9206
STE072	Healthy	6	4	67	70644	1054.3881	5.749
STE072	Healthy	6	3	79	84578	1070.6076	6.883
STE072	Healthy	7	3	60	110252	1837.5333	8.9723
STE072	Healthy	7	1	70	130878	1869.6857	10.6509
STE072	Healthy	7	4	75	124277	1657.0267	10.1137
STE072	Healthy	7	2	75	184454	2459.3867	15.0109
STE072	Healthy	8	1	76	191186	2515.6053	15.5588
STE072	Healthy	8	3	68	207189	3046.8971	16.8611
STE072	Healthy	8	4	72	178172	2474.6111	14.4997
STE072	Healthy	8	2	64	323707	5057.9219	26.3433
STE076	Healthy	1	4	70	11728	167.5429	0.9544
STE076	Healthy	1	3	85	15217	179.0235	1.2384
STE076	Healthy	1	2	129	23728	183.938	1.931
STE076	Healthy	1	1	110	22285	202.5909	1.8136
STE076	Healthy	5	4	94	72375	769.9468	5.8899
STE076	Healthy	5	2	80	52114	651.425	4.241
STE076	Healthy	5	3	104	86236	829.1923	7.0179
STE076	Healthy	5	1	86	48694	566.2093	3.9627
STE076	Healthy	6	2	70	76531	1093.3	6.2281
STE076	Healthy	6	3	88	117561	1335.9205	9.5671
STE076	Healthy	6	1	75	68468	912.9067	5.5719
STE076	Healthy	6	4	91	111201	1221.989	9.0496
STE076	Healthy	7	1	62	76611	1235.6613	6.2346
STE076	Healthy	7	4	95	161020	1694.9474	13.1038
STE076	Healthy	7	3	105	166344	1584.2286	13.5371
STE076	Healthy	7	2	74	122303	1652.7432	9.953
STE076	Healthy	8	2	68	219159	3222.9265	17.8352
STE076	Healthy	8	3	87	212550	2443.1034	17.2974
STE076	Healthy	8	1	79	166450	2106.962	13.5457
STE076	Healthy	8	4	75	232186	3095.8133	18.8953
STE129	Patient	1	2	118	31311	265.3475	2.5481
STE129	Patient	1	3	117	27433	234.4701	2.2325
STE129	Patient	1	1	105	20967	199.6857	1.7063
STE129	Patient	1	4	98	22931	233.9898	1.8661
STE129	Patient	5	4	117	129882	1110.1026	10.5698
STE129	Patient	5	2	146	125031	856.3767	10.175
STE129	Patient	5	3	137	118991	868.5474	9.6835
STE129	Patient	5	1	131	85133	649.8702	6.9281
STE129	Patient	6	3	137	154979	1131.2336	12.6122
STE129	Patient	6	1	121	100556	831.0413	8.1833
